Total,Batteries,Biogas,Biomass,Coal,Geothermal,Imports,Large Hydro,Gas,Nuclear,Other,Small Hydro,Solar,Wind
22639.865,-3329.288,175.70894,275.32565,-0.09221902,751.1297,-582.8617,1149.3717,5722.536,1878.6686,0,251.65129,14552.564,1795.1499
22631.416,-3287.0405,175.67918,275.13007,-0.115606934,750.81793,-628.82367,1146.3208,5700.098,1877.5867,0,251.70232,14573.535,1796.526
22627.88,-3385.604,175.763,275.21387,-0.112716764,750.8468,-595.6156,1155.5173,5699.159,1877.474,0,251.69363,14614.749,1808.7977
22653.543,-3381.5837,175.74277,275.026,-0.098265894,750.80634,-591.9624,1161.3439,5693.8496,1877.4017,0,252.01445,14622.153,1818.8497
22660.58,-3325.6301,175.55202,274.9162,-0.098265894,750.28613,-648.84393,1163.3671,5690.113,1877.422,0,251.99422,14627.006,1824.4971
22672.77,-3287.4133,175.66763,274.9364,-0.10404624,749.85547,-682.89594,1172.2631,5686.3467,1877.5,0,252.06937,14622.8125,1831.7312
22689.031,-3197.7861,175.76012,275.03757,-0.098265894,749.6098,-723.11847,1160.5,5683.3325,1877.578,0,252.10693,14594.945,1841.1648
22713.447,-3122.76,175.72832,275.2688,-0.098265894,749.50287,-762.31793,1151.4133,5691.6245,1877.5693,0,252.2081,14577.91,1847.3988
22736.525,-3077.5203,175.72832,275.36707,-0.0867052,749.42194,-791.6416,1149.5116,5704.2803,1877.6445,0,252.15028,14566.165,1855.5057
22776.861,-3018.1877,175.78902,275.56937,-0.0867052,749.15027,-804.3902,1150.578,5716.922,1877.8439,0,252.18208,14540.537,1860.9537
22815.785,-2934.1965,175.8815,275.5925,-0.07225434,749.44507,-845.81793,1154.2023,5729.081,1877.8324,0,252.23122,14512.323,1869.2832
22855.992,-2864.1243,175.88728,275.3844,-0.08381503,749.50287,-893.6734,1159.6213,5740.801,1878.1069,0,252.13295,14502.099,1880.3381
22913.613,-2811.3093,175.76012,275.08093,-0.098265894,749.4682,-908.17633,1163.1329,5760.405,1878.0636,0,252.05492,14489.055,1890.1763
22973.139,-2769.9827,175.78902,274.93063,-0.12716763,749.35547,-921.66473,1168.1561,5778.0376,1878.1763,0,252.07225,14488.642,1899.7544
23003.193,-2848.344,175.9133,275.263,-0.13294798,749.35547,-856.1156,1199.9017,5767.6445,1878.0867,0,252.0607,14499.052,1910.5087
23074.055,-2835.3267,175.98843,275.41907,-0.13294798,749.32947,-823.95953,1211.9971,5765.6733,1878.2255,0,252.30637,14502.717,1921.8179
23129.453,-2763.9045,175.9133,275.18207,-0.115606934,749.02893,-840.43353,1216.1156,5765.688,1878.2572,0,252.44508,14488.922,1932.3555
23187.283,-2675.6445,175.97688,274.92487,-0.10404624,748.78326,-867.26013,1224.8728,5766.367,1878.3931,0,252.44508,14465.823,1942.7052
23245.82,-2509.1301,175.94798,274.83817,-0.08959538,748.72253,-906.40173,1221.0579,5757.8354,1878.6473,0,252.35838,14396.286,1955.7485
23321.717,-2380.3352,175.9711,274.57513,-0.10982659,748.2572,-946.17633,1216.4451,5778.0547,1878.8844,0,252.33237,14356.321,1967.4971
23387.125,-2306.2341,175.83237,274.63007,-0.115606934,748.13007,-966.38727,1218.4307,5813.295,1879.1099,0,252.17342,14319.205,1979.0549
23462.39,-2230.9565,175.89885,274.46243,-0.12427746,748.3266,-983.3902,1222.3988,5843.095,1879.3295,0,252.02023,14287,1994.3295
